state,code,ustate
Alabama,AL,ALABAMA
Alaska,AK,ALASKA
Arizona,AZ,ARIZONA
Arkansas,AR,ARKANSAS
American Samoa,AS,AMERICAN SAMOA
California,CA,CALIFORNIA
Colorado,CO,COLORADO
Connecticut,CT,CONNECTICUT
Delaware,DE,DELAWARE
District of Columbia,DC,DISTRICT OF COLUMBIA
Florida,FL,FLORIDA
Georgia,GA,GEORGIA
Guam,GU,GUAM
Hawaii,HI,HAWAII
Idaho,ID,IDAHO
Illinois,IL,ILLINOIS
Indiana,IN,INDIANA
Iowa,IA,IOWA
Kansas,KS ,KANSAS
Kentucky,KY,KENTUCKY
Louisiana,LA,LOUISIANA
Maine,ME,MAINE
Maryland,MD,MARYLAND
Massachusetts,MA,MASSACHUSETTS
Michigan,MI,MICHIGAN
Minnesota,MN,MINNESOTA
Mississippi,MS,MISSISSIPPI
Missouri,MO,MISSOURI
Montana,MT,MONTANA
Nebraska,NE,NEBRASKA
Nevada,NV,NEVADA
New Hampshire,NH,NEW HAMPSHIRE
New Jersey,NJ,NEW JERSEY
New Mexico,NM,NEW MEXICO
New York,NY,NEW YORK
North Carolina,NC,NORTH CAROLINA
North Dakota,ND,NORTH DAKOTA
Northern Mariana Islands,MP,NORTHERN MARIANA ISLANDS
Ohio,OH,OHIO
Oklahoma,OK,OKLAHOMA
Oregon,OR,OREGON
Pennsylvania,PA,PENNSYLVANIA
Puerto Rico,PR,PUERTO RICO
Rhode Island,RI,RHODE ISLAND
South Carolina,SC,SOUTH CAROLINA
South Dakota,SD,SOUTH DAKOTA
Tennessee,TN,TENNESSEE
Texas,TX,TEXAS
Trust Territories,TT,TRUST TERRITORIES
Utah,UT,UTAH
Vermont,VT,VERMONT
Virginia,VA,VIRGINIA
Virgin Islands,VI,VIRGIN ISLANDS
Washington,WA,WASHINGTON
West Virginia,WV,WEST VIRGINIA
Wisconsin,WI,WISCONSIN
Wyoming,WY,WYOMING
